time_s,truth,sensor_1,sensor_2,sensor_3,estimate,mode
12.4,21.8915679989,21.8172982955,21.7558203353,22.0189361481,21.8172982955,0
12.5,21.8979692387,22.3495153452,21.9413553363,21.7421070131,21.9413553363,0
12.6,21.9041806832,21.6700703771,21.892961827,21.8688220445,21.8688220445,0
12.7,21.9102017112,21.6798978793,21.9334727583,21.6800190069,21.6800190069,0
12.8,21.9160317206,22.1384531749,22.1285618417,22.1329819736,22.1329819736,0
12.9,21.9216701284,21.8268600343,22.0245742411,21.8952562274,21.8952562274,0
13,21.9271163708,21.8493539586,21.8592872394,21.6671733162,21.8493539586,0
13.1,21.9323699032,21.643597164,22.0912328614,21.8941228224,21.8941228224,0
13.2,21.9374302002,21.9807151705,22.1377722779,21.5908037012,21.9807151705,0
13.3,21.9422967558,21.7854707411,21.9773637245,22.0207157132,21.9773637245,0
13.4,21.9469690834,21.8715541933,22.1528049299,21.9890480712,21.9890480712,0
13.5,21.9514467157,21.7087702879,21.7652939605,22.1125409278,21.7652939605,0
13.6,21.9557292049,22.0484954962,21.5759169571,22.2252716656,22.0484954962,0
13.7,21.9598161228,22.079421529,22.2284847203,21.8830759466,22.079421529,0
13.8,21.9637070607,21.9045658165,21.7384156438,22.4710929748,21.9045658165,0
13.9,21.9674016296,21.9323107845,22.284908268,21.8379431393,21.9323107845,0
14,21.97089946,22.0036676984,21.6366289627,21.8943260302,21.8943260302,0
14.1,21.974200202,22.1709511837,21.7238514389,22.188645711,22.1709511837,0
14.2,21.9773035257,22.0447510889,21.7685133407,21.8769840714,21.8769840714,0
14.3,21.9802091207,21.8883959853,21.9703052531,21.8729803275,21.8883959853,0
14.4,21.9829166964,21.8174591162,21.9219991559,21.7775387487,21.8174591162,0
14.5,21.9854259821,21.7275206675,21.9757906856,22.1620008272,21.9757906856,0
14.6,21.9877367268,21.6818623858,21.9884383571,21.8577454879,21.8577454879,0
14.7,21.9898486996,21.7944196121,22.1605362301,21.8862147617,21.8862147617,0
14.8,21.9917616891,22.2914220257,21.8357938162,22.0690620878,22.0690620878,0
14.9,21.9934755041,21.9480189028,21.8426711423,22.1110105126,21.9480189028,0
15,21.9949899732,31.9639934586,22.1156320894,21.9855316718,22.1156320894,1
15.1,21.996304945,31.7791416939,21.9758910964,22.0066959789,22.0066959789,1
15.2,21.997420288,32.1891128787,21.8161664865,21.9895543173,21.9895543173,1
15.3,21.9983358905,31.6539601445,22.1286345026,21.7820392956,22.1286345026,1
15.4,21.9990516612,31.637779757,21.9872082944,22.2201886529,22.2201886529,1
15.5,21.9995675284,31.6946781387,21.7819604113,21.8509125502,21.8509125502,1
15.6,21.9998834405,31.7739841112,22.0757690181,21.8384099515,22.0757690181,1
15.7,21.9999993659,31.8556964186,22.1166604456,21.8488964397,22.1166604456,1
15.8,21.999915293,32.0864713126,21.8056382586,21.7574875902,21.8056382586,1
15.9,21.9996312303,31.6325413724,22.3718717877,21.9355794238,22.3718717877,1
16,21.9991472061,32.0479338797,21.9929373043,22.0311395575,22.0311395575,1
16.1,21.9984632688,32.0084005647,22.3801066767,21.7906779507,22.3801066767,1
16.2,21.9975794869,31.6860870657,21.7951875532,21.730637685,21.7951875532,1
16.3,21.9964959488,32.1458883593,22.1605715907,21.8042328397,22.1605715907,1
16.4,21.9952127626,31.7171256073,21.924253432,22.2734375382,22.2734375382,1
16.5,21.9937300569,31.4298161733,22.0990554107,21.7785790114,22.0990554107,1
16.6,21.9920479798,32.2001214091,21.7764631917,21.9349648144,21.9349648144,1
16.7,21.9901666996,31.6889108795,21.7947151295,22.2673345322,22.2673345322,1
16.8,21.9880864044,32.1522021416,21.907752774,21.8140519304,21.907752774,1
16.9,21.9858073022,31.6070458749,21.9070759598,21.9796266517,21.9796266517,1
17,21.9833296209,31.9665187493,21.9645712353,21.7589676955,21.9645712353,1
17.1,21.9806536083,31.9673988312,21.9729189324,22.2387660159,22.2387660159,1
17.2,21.977779532,32.3511262229,21.9503817266,21.8245183418,21.9503817266,1
17.3,21.9747076794,31.9617112534,21.8531834244,21.8262209163,21.8531834244,1
17.4,21.9714383577,31.9597083273,21.7627774714,22.0926597079,22.0926597079,1
17.5,21.9679718937,31.9471887839,22.0179735551,21.9313838866,22.0179735551,1
17.6,21.9643086343,31.8188577448,21.7747167223,21.9168534334,21.9168534334,1
17.7,21.9604489456,31.8506968781,22.0072292122,21.9595626049,22.0072292122,1
17.8,21.9563932136,31.683931864,21.9698174735,21.6878211302,21.9698174735,1
17.9,21.952141844,31.8288463189,21.8932711221,21.5370871884,21.8932711221,1
18,21.9476952618,31.9659967513,21.9778919317,21.9160904231,21.9778919317,1
18.1,21.9430539116,31.8581904572,21.8683331796,21.7477460179,21.8683331796,1
18.2,21.9382182578,31.8842781838,21.8276958971,21.9565553363,21.9565553363,1
18.3,21.9331887837,31.6923615658,21.9803067655,21.9618325624,21.9803067655,1
18.4,21.9279659923,31.8996534259,21.8401250277,22.0384339708,22.0384339708,1
18.5,21.922550406,31.5896300646,22.0146410736,21.9711578992,22.0146410736,1
18.6,21.9169425662,31.9736178247,21.9936050846,21.7862136848,21.9936050846,1
18.7,21.9111430337,31.859251022,22.0385546999,21.9972708825,22.0385546999,1
18.8,21.9051523885,31.9464949416,21.6022883395,22.0127298115,22.0127298115,1
18.9,21.8989712297,32.1328654281,22.1009055283,21.9457468395,22.1009055283,1
19,21.8926001754,31.5810644547,22.0811091382,21.863149248,22.0811091382,1
19.1,21.8860398626,31.379535933,21.9614813432,21.587605506,21.9614813432,1
19.2,21.8792909474,31.6200028313,21.7522991689,22.1338091829,22.1338091829,1
19.3,21.8723541046,31.7981850338,21.9265524222,22.2219476974,22.2219476974,1
19.4,21.865230028,32.1840359806,21.8445593449,21.8169258236,21.8445593449,1
19.5,21.85791943,31.6057453032,21.7190278152,21.9429910995,21.9429910995,1
19.6,21.8504230416,31.9295691939,21.8724706878,22.0493833731,22.0493833731,1
19.7,21.8427416124,31.6882680098,21.8315263083,21.9889902101,21.9889902101,1
19.8,21.8348759106,31.9517050918,22.0490650657,21.9142799919,22.0490650657,1
19.9,21.8268267227,31.7649462116,21.8992651747,21.6263076834,21.8992651747,1
20,21.8185948537,31.4907029873,21.9347292098,21.8075667871,21.9347292098,1
20.1,21.8101811267,31.8718630519,21.4706442539,21.7371583217,21.7371583217,1
20.2,21.801586383,31.6816149603,21.6287439601,21.3505833818,21.6287439601,1
20.3,21.7928114823,31.7258367859,21.9722723399,21.8690110267,21.9722723399,1
20.4,21.7838573019,31.66366798,21.7808821076,21.935217318,21.935217318,1
20.5,21.7747247373,31.2226411647,21.7498174279,21.8833647667,21.8833647667,1
20.6,21.7654147016,31.9018404267,22.105560743,21.9924238375,22.105560743,1
20.7,21.755928126,31.8184406929,21.8163233272,21.9133171956,21.9133171956,1
20.8,21.746265959,31.6384005601,21.738228348,21.9275137596,21.9275137596,1
20.9,21.7364291669,32.1279182099,21.7045757057,21.726749029,21.726749029,1
21,21.7264187333,31.7661147721,21.9950594721,21.7203560726,21.9950594721,1
21.1,21.7162356593,32.0101074666,21.5229042158,21.6790284001,21.6790284001,1
21.2,21.7058809631,31.6662479318,21.8631821079,21.9149330385,21.9149330385,1
21.3,21.6953556803,31.3934668086,21.5123321551,21.762726176,21.762726176,1
21.4,21.6846608633,31.5529221341,21.3801753081,21.8923568577,21.8923568577,1
21.5,21.6737975816,31.7725915984,21.772433081,21.5787084383,21.772433081,1
21.6,21.6627669216,31.868554612,21.6147749223,21.8820539771,21.8820539771,1
21.7,21.6515699862,31.469236956,21.4807428967,21.6925026283,21.6925026283,1
21.8,21.6402078952,31.4997414661,21.7752981083,21.6922254441,21.7752981083,1
21.9,21.6286817849,31.4440875413,21.643254905,21.5584262472,21.643254905,1
22,21.6169928076,31.8001593735,21.490482211,21.5291581885,21.5291581885,1
22.1,21.6051421325,31.8473895136,22.0528608103,22.0049438653,22.0528608103,1
22.2,21.5931309445,31.6057755468,21.6369018859,21.8998226769,21.8998226769,1
22.3,21.5809604447,31.5560734834,21.3856906173,21.6043355642,21.6043355642,1
22.4,21.5686318502,31.6589352063,21.4028019266,21.2393856219,21.4028019266,1
22.5,21.5561463938,31.2688004909,21.6892322506,21.4044710905,21.6892322506,1
22.6,21.543505324,31.5152359056,21.5860170609,21.6673334999,21.6673334999,1
22.7,21.5307099051,31.4637293453,21.6304530452,21.3526978466,21.6304530452,1
22.8,21.5177614164,31.4454186112,21.3128782988,21.7441148596,21.7441148596,1
