seed,filter_rmse_m,measurement_rmse_m
7,1.21814042423,4.67940752458
8,1.29098646259,5.06177033221
9,1.02236589764,4.8566073175
10,0.94901888875,4.99297324345
11,0.878335190635,5.31259552028
12,0.963508575682,4.96314801333
13,0.747772849309,4.85886851595
14,1.62367540253,5.08257641008
15,0.71250498794,4.66282575151
16,0.97601990929,4.88656360249
17,1.29040937813,5.03749510131
18,0.828661244909,5.09798503264
19,0.83583866662,4.86576470046
20,1.75294203524,5.01988664102
21,1.03127615126,5.04292477728
22,1.12782016241,5.01391863954
23,1.13482095042,4.9216867386
24,1.14097407887,5.05766465504
25,1.21661770857,4.85551514197
26,0.958109923496,5.07060224377
27,0.836308675151,5.04101222072
28,1.11682642547,4.88312205235
29,1.04925378704,4.83922656651
30,0.847589917717,4.7357044531
31,0.974783663081,5.34340666654
32,1.2362449714,5.17934108857
33,1.18540937943,5.12359875274
34,0.772254896669,5.08915511083
35,0.902657082067,4.81119259842
36,0.945019334546,4.85881379018
