time_s,temperature_k,analytic_temperature_k,heat_flow_w
1128,90.8341827449,90.8341827428,145.829086276
1152,90.8516769864,90.8516769843,145.741615068
1176,90.8691607346,90.8691607325,145.654196327
1200,90.8866339957,90.8866339935,145.566830022
1224,90.9040967759,90.9040967738,145.47951612
1248,90.9215490817,90.9215490795,145.392254592
1272,90.9389909191,90.938990917,145.305045404
1296,90.9564222946,90.9564222925,145.217888527
1320,90.9738432144,90.9738432123,145.130783928
1344,90.9912536848,90.9912536827,145.043731576
1368,91.008653712,91.00865371,144.95673144
1392,91.0260433024,91.0260433004,144.869783488
1416,91.0434224621,91.0434224601,144.78288769
1440,91.0607911974,91.0607911955,144.696044013
1464,91.0781495146,91.0781495128,144.609252427
1488,91.0954974199,91.0954974182,144.5225129
1512,91.1128349197,91.112834918,144.435825402
1536,91.13016202,91.1301620184,144.3491899
1560,91.1474787272,91.1474787256,144.262606364
1584,91.1647850475,91.164785046,144.176074763
1608,91.182080987,91.1820809856,144.089595065
1632,91.1993665522,91.1993665509,144.003167239
1656,91.2166417491,91.2166417478,143.916791254
1680,91.233906584,91.2339065828,143.83046708
1704,91.2511610631,91.251161062,143.744194684
1728,91.2684051926,91.2684051916,143.657974037
1752,91.2856389788,91.2856389779,143.571805106
1776,91.3028624278,91.3028624269,143.485687861
1800,91.3200755458,91.320075545,143.399622271
1824,91.337278339,91.3372783383,143.313608305
1848,91.3544708137,91.3544708131,143.227645932
1872,91.371652976,91.3716529754,143.14173512
1896,91.388824832,91.3888248316,143.05587584
1920,91.4059863881,91.4059863877,142.970068059
1944,91.4231376503,91.4231376499,142.884311748
1968,91.4402786249,91.4402786246,142.798606876
1992,91.4574093179,91.4574093177,142.71295341
2016,91.4745297356,91.4745297354,142.627351322
2040,91.4916398842,91.491639884,142.541800579
2064,91.5087397697,91.5087397696,142.456301151
2088,91.5258293984,91.5258293984,142.370853008
2112,91.5429087764,91.5429087764,142.285456118
2136,91.5599779099,91.5599779099,142.200110451
2160,91.5770368049,91.5770368049,142.114815975
2184,91.5940854677,91.5940854678,142.029572661
2208,91.6111239044,91.6111239044,141.944380478
2232,91.628152121,91.6281521211,141.859239395
2256,91.6451701239,91.6451701239,141.774149381
2280,91.6621779189,91.662177919,141.689110405
2304,91.6791755124,91.6791755125,141.604122438
2328,91.6961629103,91.6961629104,141.519185448
2352,91.7131401189,91.713140119,141.434299405
2376,91.7301071443,91.7301071443,141.349464279
2400,91.7470639925,91.7470639925,141.264680038
2424,91.7640106696,91.7640106696,141.179946652
2448,91.7809471818,91.7809471817,141.095264091
2472,91.7978735352,91.797873535,141.010632324
2496,91.8147897358,91.8147897355,140.926051321
2520,91.8316957897,91.8316957893,140.841521052
2544,91.848591703,91.8485917026,140.757041485
2568,91.8654774819,91.8654774813,140.672612591
2592,91.8823531323,91.8823531316,140.588234339
2616,91.8992186603,91.8992186596,140.503906698
2640,91.9160740721,91.9160740713,140.41962964
2664,91.9329193737,91.9329193727,140.335403132
2688,91.9497545711,91.94975457,140.251227145
2712,91.9665796704,91.9665796692,140.167101648
2736,91.9833946777,91.9833946764,140.083026612
2760,92.000199599,92.0001995977,139.999002005
2784,92.0169944404,92.0169944389,139.915027798
2808,92.0337792078,92.0337792063,139.831103961
2832,92.0505539075,92.0505539059,139.747230463
2856,92.0673185453,92.0673185437,139.663407273
2880,92.0840731274,92.0840731257,139.579634363
2904,92.1008176597,92.1008176579,139.495911702
2928,92.1175521483,92.1175521465,139.412239258
2952,92.1342765992,92.1342765974,139.328617004
2976,92.1509910185,92.1509910166,139.245044908
3000,92.1676954121,92.1676954101,139.16152294
