time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,analytic_error_m
248.305961216,6666056.21646,1861196.33766,0,-2040.83084316,7309.43471816,0,0.00111617696085
257.856190494,6646200.66606,1930899.78866,0,-2117.26176548,7287.66279721,0,0.00104996777529
267.406419771,6625616.28466,2000391.49469,0,-2193.46050617,7265.09170194,0,0.000778010373492
276.956649049,6604305.32964,2069663.83523,0,-2269.41870919,7241.72390751,0,0.000373332891864
286.506878327,6582270.13819,2138709.21382,0,-2345.12804488,7217.56197644,0,3.82602280833e-05
296.057107604,6559513.12692,2207520.05891,0,-2420.58021088,7192.60855833,0,9.64805247244e-06
305.607336882,6536036.79114,2276088.82454,0,-2495.76693298,7166.86638964,0,4.10872756005e-05
315.157566159,6511843.70528,2344407.99139,0,-2570.67996612,7140.33829328,0,5.30191120167e-05
324.707795437,6486936.5224,2412470.0675,0,-2645.31109524,7113.02717836,0,4.53312960619e-05
334.258024714,6461317.97383,2480267.58908,0,-2719.65213618,7084.93603986,0,3.78866315128e-05
343.808253992,6434990.86891,2547793.12135,0,-2793.69493661,7056.06795828,0,5.29325851747e-05
353.358483269,6407958.09469,2615039.25939,0,-2867.43137691,7026.42609934,0,0.00010427894228
362.908712547,6380222.61562,2681998.62888,0,-2940.85337104,6996.01371361,0,0.000192038774162
372.458941825,6351787.47322,2748663.887,0,-3013.95286745,6964.83413614,0,0.000301986228376
382.009171102,6322655.78575,2815027.72315,0,-3086.72184997,6932.89078613,0,0.000408489731496
391.55940038,6292830.74786,2881082.8598,0,-3159.15233866,6900.1871665,0,0.000479930718047
401.109629657,6262315.63022,2946822.05328,0,-3231.23639069,6866.72686359,0,0.000485561923953
410.659858935,6231113.77918,3012238.09455,0,-3302.96610125,6832.51354668,0,0.000402799570217
420.210088212,6199228.61638,3077323.81001,0,-3374.33360436,6797.55096765,0,0.000224251927331
429.76031749,6166663.63839,3142072.06227,0,-3445.33107378,6761.84296054,0,5.37086356635e-05
