time_s,true_position_m,measurement_m,estimated_position_m,estimated_velocity_mps,position_sigma_m
5.4,111.491823429,110.577123249,111.570736466,2.86880500455,1.83191134391
5.6,111.967144531,108.330872295,111.652554962,2.7817238529,1.80268848337
5.8,112.450104827,107.710307028,111.646008501,2.68212609954,1.77478242503
6,112.942248572,111.75586855,112.134317957,2.71501419616,1.74810573597
6.2,113.440844598,110.697042911,112.446421716,2.70582524246,1.72257814271
6.4,113.944934527,115.114441193,113.237164309,2.81054365218,1.69812596964
6.6,114.455836781,114.433678265,113.874805857,2.87555543341,1.67468158924
6.8,114.973095627,108.161561887,113.767770386,2.77573775715,1.65218289853
7,115.5009874,115.836593897,114.488467365,2.86092315738,1.6305728295
7.2,116.039703088,109.325401002,114.470811825,2.78999958367,1.60979889667
7.4,116.58723495,113.504846822,114.879495353,2.81178953148,1.58981278252
7.6,117.147136487,115.675368441,115.469737575,2.86995009216,1.57056995978
7.8,117.718465596,107.342099206,115.210236511,2.76378876123,1.55202934857
8,118.299380405,118.756917644,116.049861633,2.87164597584,1.53415300606
8.2,118.891409476,119.646326225,116.907426099,2.97829705279,1.51690584601
8.4,119.495034206,118.704913239,117.616432655,3.05408401729,1.50025538554
8.6,120.107703864,117.986117501,118.211212383,3.1074084834,1.48417151656
8.8,120.729553242,118.861534942,118.840449948,3.16539916733,1.46862629953
9,121.365849849,116.483152506,119.226111936,3.18109061566,1.45359377721
9.2,122.013436444,120.664934595,119.934182862,3.25047198801,1.43904980642
9.4,122.671392976,119.908333959,120.534788564,3.30046560093,1.424971906
9.6,123.343120704,123.801547667,121.408018837,3.39242815157,1.4113391192
9.8,124.025675549,118.004995101,121.772851143,3.40235169455,1.39813188901
10,124.722866583,125.900816128,122.7234824,3.50228554827,1.3853319452
10.2,125.437537486,126.153631953,123.635282803,3.59286904782,1.37292220168
10.4,126.163314307,125.455500146,124.441017811,3.66476099509,1.3608866633
10.6,126.898836242,124.702812126,125.145225558,3.71972969761,1.34921034097
10.8,127.647659132,130.409358594,126.218371945,3.82574134846,1.33787917434
11,128.409249469,120.086240935,126.503354044,3.81751702413,1.32687996126
11.2,129.183801991,131.486068682,127.564795799,3.91763878612,1.31620029329
11.4,129.971532748,131.186720079,128.547481003,4.00356394987,1.30582849681
11.6,130.772371186,132.189252649,129.544539634,4.08851776846,1.29575357893
11.8,131.58927744,133.505840402,130.575709759,4.17511001466,1.28596517803
12,132.419505077,129.151283044,131.268973975,4.21465993965,1.27645351819
12.2,133.260512098,131.963211807,132.107822692,4.27181248863,1.26720936744
12.4,134.112641435,137.297933091,133.24217919,4.36467317422,1.25822399918
12.6,134.975649086,137.128845307,134.308709814,4.44577471832,1.24948915669
12.8,135.847984628,136.881548455,135.306930598,4.51557317001,1.24099702037
13,136.728121963,129.156520737,135.786585328,4.51930642042,1.23274017743
13.2,137.617919934,140.307355509,136.912688704,4.60133184783,1.2247115939
13.4,138.520201427,144.367556387,138.225205985,4.70279770849,1.21690458865
13.6,139.437506063,144.485863528,139.482090823,4.79403170173,1.20931280934
13.8,140.365236203,141.534626447,140.50914113,4.85494307927,1.20193021005
14,141.299349359,133.510956341,141.030079259,4.85459637884,1.19475103059
14.2,142.243614077,146.956338148,142.285524655,4.93861741811,1.18776977713
14.4,143.195453086,142.459179902,143.232634681,4.98425304003,1.18098120427
14.6,144.152455283,131.489857043,143.531394344,4.95444460578,1.17438029829
14.8,145.118210913,147.004247929,144.66233218,5.01849783864,1.16796226154
15,146.095951437,138.635092522,145.290995142,5.02394047129,1.16172249788
15.2,147.087032631,140.60482973,145.996181943,5.03695785328,1.1556565991
15.4,148.08805993,144.913265468,146.897354819,5.07032423462,1.14976033218
15.6,149.096682965,155.459638855,148.310787082,5.15773510659,1.14402962747
15.8,150.112813279,148.258586508,149.290235921,5.19473275507,1.13846056757
16,151.139984715,152.494942654,150.444367493,5.24851535754,1.13304937696
16.2,152.177583607,160.917423425,151.977345579,5.34029821873,1.1277924123
16.4,153.221690111,161.191838924,153.459844408,5.42312886517,1.12268615338
16.6,154.27359286,153.756825781,154.50870085,5.45674928145,1.11772719457
16.8,155.333378152,154.125773042,155.530469096,5.48543661049,1.11291223698
17,156.39966004,150.095306869,156.309964578,5.48678271768,1.10823808096
17.2,157.470159311,153.99786894,157.244374223,5.50292931367,1.10370161923
17.4,158.544948716,160.671740454,158.460473695,5.54652244311,1.09929983039
17.6,159.625064567,161.603718376,159.670228856,5.58698888914,1.0950297729
17.8,160.712551888,161.263743043,160.813038105,5.6181533219,1.09088857946
18,161.80928841,166.783296698,162.168277484,5.66884326319,1.08687345178
18.2,162.912572936,159.050732871,163.105044129,5.67413009444,1.08298165571
18.4,164.022110633,163.741728032,164.218951383,5.69576382523,1.07921051675
18.6,165.136940164,168.793155107,165.519185092,5.73420295136,1.07555741586
18.8,166.257494964,169.178224495,166.783480464,5.76652317291,1.07201978561
19,167.384106046,172.738834924,168.157932508,5.80757449847,1.06859510662
19.2,168.515494429,170.500596463,169.374709803,5.83020225932,1.06528090429
19.4,169.648744375,168.101731597,170.432183165,5.8346823755,1.06207474578
19.6,170.783034778,172.593996079,171.645062262,5.85291070247,1.05897423733
19.8,171.91722068,166.904244698,172.553123087,5.83860661809,1.05597702172
20,173.046185407,164.84888875,173.328270931,5.8096485749,1.05308077604
20.2,174.172341754,177.075700659,174.605092073,5.82945481972,1.05028320966
20.4,175.297604179,175.021902515,175.73873939,5.83286946961,1.04758206241
20.6,176.422552034,177.964600166,176.952049443,5.84234362139,1.044975103
20.8,177.55311594,169.064694121,177.727167202,5.80647007149,1.04246012755
21,178.686944877,176.861374753,178.800879393,5.79909355108,1.04003495839
21.2,179.817941583,176.818656014,179.825313787,5.78522309416,1.037697443
21.4,180.947820378,176.626759805,180.79534417,5.76448944127,1.03544545308
21.6,182.078455497,170.803380465,181.471892033,5.71346720682,1.03327688383
21.8,183.208724214,181.534356804,182.568074519,5.70304840507,1.03118965333
22,184.336870439,188.82339188,183.924651423,5.71670298532,1.02918170207
22.2,185.464294926,187.369283535,185.164222515,5.71680028502,1.0272509926
22.4,186.592093912,183.587360864,186.192100511,5.69431498831,1.02539550932
22.6,187.716441543,187.642061685,187.342756494,5.68260177105,1.02361325832
22.8,188.835788247,192.619788648,188.650818154,5.68485603685,1.02190226741
23,189.95192305,176.149833737,189.218361877,5.61257092759,1.02026058612
23.2,191.062549261,190.439866527,190.343239394,5.59476959825,1.0186862859
23.4,192.16777302,194.883773756,191.601889366,5.5887711747,1.01717746029
23.6,193.267647853,196.67829098,192.880939345,5.5832225458,1.01573222527
23.8,194.363262421,202.866913456,194.360379257,5.59581931728,1.01434871955
24,195.456386372,201.131614768,195.709163628,5.59370145042,1.01302510496
24.2,196.54492677,198.107740944,196.8777621,5.5723109074,1.01175956693
24.4,197.626993282,199.136873312,198.036281133,5.54876484665,1.01055031491
24.6,198.701852212,202.636578952,199.285440058,5.53303274252,1.0093955829
24.8,199.766377474,197.0697425,200.253940215,5.48847945298,1.00829362998
25,200.818236308,200.617296034,201.318688438,5.45275969407,1.00724274078
25.2,201.861848494,206.393043509,202.567297339,5.43435591861,1.00624122612
25.4,202.894924353,212.682150427,204.015685709,5.43453749739,1.00528742348
25.6,203.918142371,203.121805842,205.019097795,5.38949785726,1.0043796976
25.8,204.931985,204.689981553,206.036617638,5.34535024833,1.00351644097
26,205.935996828,206.928397797,207.094724336,5.30472254552,1.00269607441
26.2,206.93171045,213.64772892,208.372233439,5.28521356636,1.00191704755
26.4,207.918909076,207.767342558,209.358557345,5.23610453907,1.00117783934
26.6,208.899291847,216.246087029,210.635408535,5.21539110138,1.00047695851
26.8,209.86798113,205.034695043,211.408513116,5.1441713226,0.999812943992
27,210.826975333,209.896793854,212.331457038,5.08798636565,0.999184365379
27.2,211.782001757,210.791175973,213.242485101,5.03061280329,0.998589823257
27.4,212.730209127,216.662737748,214.340145496,4.99174261495,0.998027949569
27.6,213.667953443,218.894255328,215.475266334,4.95631855051,0.997497407912
27.8,214.594842629,207.047620839,216.087190037,4.86884911818,0.996996893805
28,215.509279253,210.933691124,216.812634727,4.7933886617,0.996525134909
28.2,216.413594423,218.097856817,217.779250141,4.74239805143,0.996080891211
28.4,217.308476193,214.015007963,218.535747914,4.67075093792,0.995662955162
28.6,218.19145803,210.579319152,219.112448463,4.58189198617,0.99527015177
28.8,219.061881788,224.254281649,220.19086992,4.54377620159,0.99490133865
29,219.918450145,222.388300566,221.145287762,4.4934161516,0.994555406034
29.2,220.760056601,223.225944086,222.085317526,4.44197320021,0.99423127673
29.4,221.590339837,219.213111255,222.819661886,4.37052548508,0.993927906044
29.6,222.411429677,227.556121938,223.840802019,4.32842095189,0.993644281653
29.8,223.222636632,222.02283665,224.595006222,4.2601302484,0.993379423444
30,224.024198691,229.50637508,225.601588592,4.21782628223,0.993132383304
30.2,224.812708806,220.254383052,226.195391896,4.13492186742,0.992902244872
30.4,225.587411085,221.316733846,226.791807988,4.05356856055,0.99268812326
30.6,226.348508584,227.371824637,227.587735116,3.99338263027,0.992489164722
30.8,227.096615952,223.584955223,228.191577397,3.91503014366,0.992304546305
31,227.832059176,231.209314503,229.056832655,3.86407078002,0.992133475451
31.2,228.554189284,229.854628005,229.824877463,3.80430892961,0.991975189576
31.4,229.26097722,224.646121131,230.346260409,3.7210775418,0.991828955613
31.6,229.951397479,230.315725484,231.05423461,3.65806376733,0.991694069535
31.8,230.631514465,228.875126024,231.665611428,3.5866981546,0.991569855838
32,231.301609341,235.880773487,232.514728725,3.54053547703,0.991455667014
32.2,231.95628653,228.793521614,233.042972745,3.46342183066,0.991350882991
32.4,232.597594645,230.401729168,233.598897875,3.39078684243,0.991254910558
32.6,233.230498655,239.286683182,234.468214528,3.35110714866,0.991167182768
32.8,233.851468798,245.044435745,235.521970598,3.33092136986,0.991087158327
33,234.457337081,244.452380402,236.507169298,3.30464359654,0.99101432097
33.2,235.049821639,235.365936697,237.09170832,3.23928409696,0.990948178817
33.4,235.625902203,236.720175738,237.693970077,3.17744410627,0.990888263728
33.6,236.18840791,243.855701221,238.540963961,3.14178130393,0.99083413064
33.8,236.740919462,236.118745431,239.04407785,3.0730278691,0.990785356906
34,237.282225712,232.400480027,239.368306642,2.98837116432,0.990741541621
34.2,237.810994921,238.395372909,239.898982563,2.92668202721,0.990702304947
34.4,238.328129825,240.585713727,240.483030345,2.87225775128,0.990667287441
34.6,238.834202437,234.688454348,240.802272966,2.79319876857,0.990636149373
34.8,239.328173173,231.097017465,240.952912696,2.69965730451,0.990608570054
35,239.809069558,232.625421985,241.139757658,2.61244453754,0.990584247159
35.2,240.274920159,243.60206658,241.733430439,2.56854167008,0.990562896064
35.4,240.730796885,236.938914303,242.033945699,2.4971365388,0.990544249177
35.6,241.178311246,240.471575784,242.447690627,2.4394624963,0.990528055283
35.8,241.615578069,242.678371491,242.920822926,2.38990598934,0.99051407889
36,242.043755348,245.139459743,243.462551653,2.3492701256,0.990502099595
36.2,242.46159744,240.787083446,243.804519262,2.29057523256,0.990491911443
36.4,242.86838446,245.361962962,244.301431593,2.24970593775,0.990483322314
36.6,243.266495559,238.816194098,244.514238927,2.18242334858,0.990476153304
36.8,243.656587647,241.848017519,244.824861754,2.1275032634,0.990470238133
37,244.037350202,238.915272263,244.997783343,2.06117324608,0.990465422556
37.2,244.409691513,250.068527595,245.588962667,2.03932530946,0.990461563791
37.4,244.776534941,244.641118801,245.939901616,1.99521844522,0.990458529958
37.6,245.139471626,241.442934188,246.143231062,1.93860019787,0.990456199536
37.8,245.497195173,243.735336182,246.417793888,1.8916522932,0.990454460833
38,245.84750544,244.738863037,246.712080251,1.84905919325,0.990453211465
38.2,246.187167662,249.689766619,247.181050195,1.82627138273,0.990452357864
38.4,246.519508493,238.541327602,247.189922352,1.75939947358,0.990451814782
38.6,246.849531025,241.663501817,247.308258889,1.70634991976,0.990451504831
38.8,247.17536658,245.284830322,247.55400954,1.66866931854,0.990451358023
39,247.496483081,260.158012245,248.366650104,1.690054992,0.990451311331
39.2,247.815046852,252.593441315,248.854836117,1.68014959837,0.990451308268
39.4,248.131963192,247.574704797,249.125186545,1.65027145755,0.99045129848
39.6,248.447843067,252.007840979,249.553302555,1.63842860431,0.99045123735
39.8,248.760448043,259.047628891,250.238745109,1.65424259735,0.990451085626
40,249.071304256,nan,250.567745085,1.63575716383,1.01047457218
40.2,249.379172193,nan,250.893220025,1.61899223394,1.03089466793
40.4,249.683090963,nan,251.215515538,1.60396289498,1.0517034844
40.6,249.986890087,nan,251.534980094,1.59068267235,1.07289331678
40.8,250.290944376,nan,251.851964713,1.57916351734,1.09445665362
41,250.598377232,nan,252.166822645,1.56941579643,1.11638618384
41.2,250.910765472,nan,252.479909052,1.5614482819,1.13867480153
41.4,251.222417484,nan,252.791580695,1.55526814397,1.16131560878
41.6,251.527345065,nan,253.102195604,1.55088094436,1.18430191679
41.8,251.82983133,nan,253.412112761,1.54829063125,1.20762724563
42,252.131583207,nan,253.721691778,1.54749953574,1.23128532275
42.2,252.431302023,nan,254.031292569,1.54850836977,1.25527008052
42.4,252.733057151,nan,254.341275028,1.55131622546,1.27957565287
42.6,253.033945361,nan,254.651998708,1.55592057591,1.30419637139
42.8,253.32842612,nan,254.963822494,1.56231727754,1.32912676079
43,253.620663516,nan,255.277104279,1.57050057374,1.35436153398
43.2,253.915322864,nan,255.592200646,1.58046310009,1.37989558683
43.4,254.21174891,nan,255.909466545,1.592195891,1.40572399273
43.6,254.510282947,nan,256.229254973,1.60568838774,1.43184199697
43.8,254.810046279,nan,256.551916657,1.62092844797,1.45824501104
44,255.108282987,nan,256.877799737,1.63790235668,1.48492860688
44.2,255.406726036,nan,257.207249457,1.65659483849,1.51188851116
44.4,255.70680103,nan,257.540607848,1.67698907143,1.53912059962
44.6,256.005892829,nan,257.878213425,1.69906670207,1.56662089146
44.8,256.307290908,nan,258.220400881,1.72280786202,1.59438554381
45,256.614489999,nan,258.567500786,1.74819118585,1.62241084638
45.2,256.927617948,nan,258.919839288,1.77519383028,1.65069321617
45.4,257.245140394,nan,259.27773782,1.80379149474,1.67922919244
45.6,257.565244594,nan,259.641512814,1.83395844328,1.70801543171
45.8,257.888222194,nan,260.011475411,1.86566752768,1.73704870298
46,258.213921601,nan,260.387931185,1.8988902119,1.76632588315
46.2,258.545031447,nan,260.771179866,1.93359659776,1.79584395251
46.4,258.882052683,nan,261.161515071,1.96975545187,1.82559999053
46.6,259.225593867,nan,261.55922404,2.00733423369,1.85559117169
46.8,259.578181062,nan,261.964587376,2.04629912485,1.88581476155
47,259.943426174,nan,262.377878794,2.08661505959,1.91626811293
47.2,260.318130692,nan,262.799364876,2.12824575629,1.94694866233
47.4,260.700279307,nan,263.229304826,2.17115375012,1.97785392642
47.6,261.092730217,nan,263.667950244,2.2153004268,2.00898149869
47.8,261.493923323,nan,264.115544892,2.26064605728,2.04032904633
48,261.901373582,nan,264.572324481,2.30714983357,2.07189430713
48.2,262.31441611,nan,265.038516455,2.3547699054,2.10367508657
48.4,262.737656005,nan,265.514339788,2.40346341792,2.1356692551
48.6,263.172059001,nan,266.000004784,2.45318655026,2.16787474542
48.8,263.616502263,nan,266.495712895,2.50389455496,2.20028955001
49,264.070761725,nan,267.00165653,2.55554179824,2.23291171865
49.2,264.537167618,nan,267.51801889,2.60808180105,2.26573935616
49.4,265.016432254,nan,268.044973798,2.66146728095,2.29877062018
49.6,265.502009952,nan,268.582685546,2.71565019461,2.33200371906
49.8,265.992714124,nan,269.131308744,2.77058178106,2.36543690987
50,266.489152799,266.208515027,269.039284969,2.78039840579,2.16297274409
50.2,266.986342086,266.641964537,269.12342069,2.80333604061,2.00869902361
50.4,267.487284118,266.031148459,269.169035029,2.82406017296,1.88634745294
50.6,268.001263477,268.461072973,269.576384203,2.87020325305,1.78642229502
50.8,268.529538935,266.353464427,269.715085236,2.89772041093,1.70296270784
51,269.0671922,268.648281353,270.124443865,2.94397540252,1.63201505593
51.2,269.612331085,264.189335542,270.074614316,2.95841947115,1.57084127146
51.4,270.169634824,268.3013163,270.453825855,3.00249198184,1.51747790378
51.6,270.741362378,282.144144728,272.018929133,3.12791574248,1.47047595724
51.8,271.325400166,270.977430026,272.513866148,3.17809123849,1.42874000749
52,271.921366949,270.728064125,272.967479364,3.22485056871,1.39142473756
52.2,272.529273722,275.191145118,273.734430863,3.29283790485,1.35786615743
52.4,273.150857643,276.691466751,274.560601918,3.36412992883,1.32753456061
