time_s,height_m,velocity_mps,thrust_accel_mps2
3.5,55.4281730162,-11.8366032042,11.380891481
3.52,55.1917558004,-11.8051183745,11.3872221661
3.54,54.9559695474,-11.7735069312,11.3933885062
3.56,54.7208167565,-11.7417721611,11.399392502
3.58,54.4862998617,-11.709917311,11.4052361343
3.6,54.2524212327,-11.6779455884,11.4109213639
3.62,54.0191831752,-11.6458601611,11.4164501317
3.64,53.786587932,-11.6136641584,11.4218243591
3.66,53.5546376838,-11.5813606713,11.4270459478
3.68,53.3233345495,-11.5489527523,11.4321167807
3.7,53.0926805878,-11.5164434167,11.4370387211
3.72,52.8626777972,-11.4838356423,11.4418136139
3.74,52.6333281171,-11.45113237,11.4464432849
3.76,52.4046334284,-11.4183365043,11.4509295416
3.78,52.1765955542,-11.3854509135,11.4552741729
3.8,51.9492162608,-11.35247843,11.4594789497
3.82,51.7224972579,-11.319421851,11.4635456248
3.84,51.4964402001,-11.2862839385,11.467475933
3.86,51.2710466865,-11.2530674199,11.4712715915
3.88,51.0463182624,-11.219774988,11.4749343001
3.9,50.8222564195,-11.186409302,11.4784657411
3.92,50.5988625966,-11.1529729872,11.4818675795
3.94,50.3761381804,-11.1194686356,11.4851414633
3.96,50.1540845059,-11.0858988063,11.4882890237
3.98,49.9327028576,-11.0522660259,11.4913118752
4,49.7119944695,-11.0185727884,11.4942116155
4.02,49.491960526,-10.9848215561,11.4969898261
4.04,49.2726021629,-10.9510147595,11.4996480721
4.06,49.0539204673,-10.9171547981,11.5021879026
4.08,48.8359164789,-10.88324404,11.5046108506
4.1,48.6185911903,-10.849284823,11.5069184333
4.12,48.4019455475,-10.8152794544,11.5091121524
4.14,48.1859804509,-10.7812302113,11.5111934938
4.16,47.9706967553,-10.7471393414,11.5131639284
4.18,47.7560952713,-10.7130090629,11.5150249115
4.2,47.542176765,-10.6788415646,11.5167778835
4.22,47.3289419593,-10.644639007,11.5184242698
4.24,47.116391534,-10.6104035216,11.519965481
4.26,46.9045261267,-10.576137212,11.5214029132
4.28,46.693346333,-10.5418421537,11.5227379476
4.3,46.4828527075,-10.5075203947,11.5239719514
4.32,46.273045764,-10.4731739557,11.5251062773
4.34,46.0639259762,-10.4388048302,11.526142264
4.36,45.855493778,-10.4044149849,11.5270812361
4.38,45.6477495646,-10.3700063602,11.5279245044
4.4,45.4406936923,-10.3355808701,11.528673366
4.42,45.2343264795,-10.3011404028,11.5293291044
4.44,45.0286482073,-10.2666868207,11.5298929896
4.46,44.8236591195,-10.2322219609,11.5303662783
4.48,44.6193594235,-10.1977476353,11.5307502139
4.5,44.4157492909,-10.163265631,11.5310460268
4.52,44.2128288575,-10.1287777105,11.5312549345
4.54,44.0105982242,-10.0942856118,11.5313781414
4.56,43.8090574576,-10.059791049,11.5314168394
4.58,43.60820659,-10.0252957122,11.5313722077
4.6,43.4080456202,-9.99080126804,11.5312454132
4.62,43.2085745139,-9.95630935978,11.5310376102
4.64,43.0097932043,-9.92182160758,11.5307499408
4.66,42.8117015921,-9.88733960876,11.5303835351
4.68,42.6142995466,-9.85286493806,11.529939511
4.7,42.4175869058,-9.81839914784,11.5294189748
4.72,42.2215634766,-9.78394376834,11.5288230206
4.74,42.0262290358,-9.74950030793,11.5281527312
4.76,41.8315833302,-9.7150702533,11.5274091777
4.78,41.637626077,-9.68065506975,11.5265934196
4.8,41.4443569643,-9.64625620136,11.5257065052
4.82,41.2517756516,-9.61187507125,11.5247494717
4.84,41.05988177,-9.57751308182,11.5237233449
4.86,40.8686749231,-9.54317161492,11.5226291397
4.88,40.6781546866,-9.50885203213,11.5214678601
4.9,40.4883206095,-9.47455567493,11.5202404993
4.92,40.2991722141,-9.44028386494,11.5189480398
4.94,40.1107089964,-9.40603790415,11.5175914533
4.96,39.9229304266,-9.37181907508,11.5161717014
4.98,39.7358359495,-9.33762864105,11.5146897348
5,39.5494249846,-9.30346784636,11.5131464943
5.02,39.363696927,-9.26933791647,11.5115429103
5.04,39.1786511472,-9.23524005826,11.5098799031
5.06,38.994286992,-9.2011754602,11.5081583831
5.08,38.8106037845,-9.16714529254,11.5063792506
5.1,38.6276008245,-9.13315070753,11.5045433963
5.12,38.445277389,-9.0991928396,11.502651701
5.14,38.2636327326,-9.06527280558,11.500705036
5.16,38.0826660875,-9.03139170486,11.4987042629
5.18,37.9023766642,-8.9975506196,11.496650234
5.2,37.7227636519,-8.96375061492,11.4945437922
5.22,37.5438262184,-8.92999273908,11.4923857712
5.24,37.3655635107,-8.89627802365,11.4901769953
5.26,37.1879746557,-8.86260748375,11.4879182799
5.28,37.0110587596,-8.82898211815,11.4856104315
5.3,36.8348149094,-8.79540290952,11.4832542475
5.32,36.659242172,-8.76187082457,11.4808505166
5.34,36.4843395956,-8.72838681424,11.4784000185
5.36,36.3101062094,-8.69495181387,11.4759035246
5.38,36.1365410238,-8.66156674338,11.4733617975
5.4,35.9636430313,-8.62823250743,11.4707755914
5.42,35.7914112062,-8.5949499956,11.4681456522
5.44,35.6198445055,-8.56172008255,11.4654727171
5.46,35.4489418684,-8.52854362821,11.4627575155
5.48,35.2787022173,-8.4954214779,11.4600007685
5.5,35.1091244579,-8.46235446253,11.4572031888
5.52,34.9402074793,-8.42934339875,11.4543654816
5.54,34.7719501544,-8.39638908912,11.4514883439
5.56,34.6043513403,-8.36349232225,11.4485724647
5.58,34.4374098783,-8.33065387295,11.4456185257
5.6,34.2711245946,-8.29787450244,11.4426272004
5.62,34.1054943,-8.26515495843,11.4395991549
5.64,33.9405177906,-8.23249597533,11.4365350479
5.66,33.7761938481,-8.19989827437,11.4334355303
5.68,33.6125212398,-8.16736256377,11.4303012459
5.7,33.4494987187,-8.13488953885,11.4271328309
5.72,33.2871250245,-8.10247988223,11.4239309146
5.74,33.1253988831,-8.07013426394,11.4206961188
5.76,32.964319007,-8.03785334156,11.4174290583
5.78,32.803884096,-8.0056377604,11.4141303408
5.8,32.6440928368,-7.97348815358,11.4108005671
5.82,32.4849439039,-7.94140514224,11.4074403311
5.84,32.3264359591,-7.90938933562,11.4040502198
5.86,32.1685676524,-7.87744133122,11.4006308136
5.88,32.011337622,-7.84556171495,11.3971826858
5.9,31.8547444942,-7.81375106124,11.3937064036
5.92,31.6987868843,-7.78200993316,11.3902025271
5.94,31.5434633961,-7.75033888262,11.3866716103
5.96,31.3887726228,-7.71873845042,11.3831142006
5.98,31.2347131466,-7.6872091664,11.3795308389
6,31.0812835394,-7.65575154963,11.37592206
6.02,30.9284823629,-7.62436610843,11.3722883924
6.04,30.7763081684,-7.59305334058,11.3686303582
6.06,30.6247594976,-7.56181373342,11.3649484737
6.08,30.4738348827,-7.53064776394,11.3612432488
6.1,30.323532846,-7.49955589897,11.3575151878
6.12,30.1738519011,-7.46853859521,11.3537647885
6.14,30.0247905521,-7.43759629944,11.3499925434
6.16,29.8763472947,-7.40672944857,11.3461989386
6.18,29.7285206155,-7.3759384698,11.342384455
6.2,29.581308993,-7.3452237807,11.3385495673
6.22,29.4347108973,-7.31458578935,11.3346947449
6.24,29.2887247904,-7.28402489446,11.3308204513
6.26,29.1433491266,-7.25354148543,11.3269271446
6.28,28.9985823524,-7.22313594254,11.3230152775
6.3,28.8544229066,-7.19280863699,11.3190852971
6.32,28.7108692209,-7.16255993105,11.3151376452
6.34,28.5679197198,-7.13239017814,11.3111727583
6.36,28.4255728208,-7.10229972298,11.3071910676
6.38,28.2838269345,-7.07228890162,11.303192999
6.4,28.1426804651,-7.04235804164,11.2991789733
6.42,28.0021318101,-7.01250746218,11.2951494063
6.44,27.8621793607,-6.98273747405,11.2911047086
6.46,27.7228215022,-6.95304837988,11.2870452857
6.48,27.5840566136,-6.92344047417,11.2829715383
6.5,27.4458830684,-6.8939140434,11.2788838622
6.52,27.3082992344,-6.86446936616,11.2747826482
6.54,27.1713034736,-6.83510671319,11.2706682824
6.56,27.034894143,-6.80582634755,11.2665411461
6.58,26.8990695942,-6.77662852462,11.2624016159
6.6,26.7638281741,-6.7475134923,11.2582500637
6.62,26.6291682242,-6.71848149103,11.2540868568
6.64,26.4950880818,-6.68953275389,11.2499123579
6.66,26.3615860792,-6.66066750674,11.2457269252
6.68,26.2286605444,-6.63188596823,11.2415309124
6.7,26.0963098012,-6.60318834998,11.2373246688
6.72,25.9645321692,-6.57457485661,11.2331085393
6.74,25.8333259637,-6.54604568582,11.2288828644
6.76,25.7026894966,-6.51760102853,11.2246479804
6.78,25.5726210756,-6.48924106892,11.2204042192
6.8,25.4431190051,-6.46096598454,11.2161519086
6.82,25.3141815858,-6.43277594637,11.2118913722
6.84,25.1858071151,-6.40467111893,11.2076229294
6.86,25.0579938873,-6.37665166034,11.2033468958
6.88,24.9307401935,-6.34871772242,11.1990635825
6.9,24.8040443218,-6.32086945077,11.1947732969
6.92,24.6779045574,-6.29310698483,11.1904763425
6.94,24.552319183,-6.26543045798,11.1861730186
6.96,24.4272864784,-6.23783999761,11.1818636209
6.98,24.3028047212,-6.21033572519,11.1775484411
7,24.1788721864,-6.18291775637,11.1732277671
7.02,24.0554871468,-6.15558620103,11.1689018831
7.04,23.9326478732,-6.12834116337,11.1645710696
7.06,23.8103526341,-6.10118274198,11.1602356033
7.08,23.6885996964,-6.07411102991,11.1558957574
7.1,23.567387325,-6.04712611476,11.1515518013
7.12,23.446713783,-6.02022807874,11.1472040012
7.14,23.3265773323,-5.99341699871,11.1428526192
7.16,23.2069762328,-5.96669294633,11.1384979145
7.18,23.0879087435,-5.94005598804,11.1341401424
7.2,22.9693731217,-5.91350618519,11.129779555
7.22,22.8513676239,-5.88704359409,11.125416401
7.24,22.7338905053,-5.86066826607,11.1210509256
7.26,22.6169400202,-5.83438024756,11.1166833709
7.28,22.5005144219,-5.80817958014,11.1123139755
7.3,22.3846119631,-5.78206630063,11.1079429749
7.32,22.2692308957,-5.75604044113,11.1035706013
