height_m,initial_velocity_mps,max_accel_mps2,contact,contact_velocity_mps
105.003818664,-6.0278619903,19.102742761,1,-0.144940484983
89.0082875996,-11.9983371509,19.4942137816,1,-0.144880695159
80.2106121826,-6.78771581617,19.188277715,1,-0.144551713741
98.7173981137,-11.9696757318,17.1137024484,1,-0.144982561656
90.1947835062,-10.5492369412,18.0181930358,1,-0.144829596741
102.139894083,-5.04499716566,19.1706476769,1,-0.144890904396
104.887169178,-5.11039852318,16.8612347929,1,-0.144930645628
86.4084813543,-8.87460395727,16.1757680318,1,-0.144717208902
81.4272111509,-9.85111179729,17.8648241013,1,-0.144681442053
116.686710928,-8.70773745509,18.0564705864,1,-0.145116627008
99.8749374157,-12.5248507797,16.0471761022,1,-0.145014795566
87.6960857594,-8.07967879118,16.8024268959,1,-0.14471430825
94.7814524241,-14.9626575795,19.3201909192,1,-0.145100930188
86.1784432425,-12.3240069544,19.5213286159,1,-0.144871447917
100.391632395,-6.52849753634,18.5588686678,1,-0.144880363804
109.670837894,-14.0850439494,18.1645752855,1,-0.145162074772
100.310889452,-6.28660623307,17.4450562361,1,-0.144876241421
103.927362688,-14.4074835765,17.5505272044,1,-0.145128308564
92.9214538503,-13.4980027093,19.2653524153,1,-0.14499804309
95.177846862,-5.21252115589,18.359966772,1,-0.144786062019
104.202250153,-8.62003419212,18.7058009753,1,-0.144963998934
86.0315207667,-10.5968653281,16.9582558473,1,-0.144778102133
96.0999319242,-14.0329590607,19.8713122042,1,-0.145051489857
88.6001614942,-8.28234837389,17.2016803259,1,-0.144733971204
114.963081046,-8.37785261662,16.5264632632,1,-0.145093170776
113.802972835,-5.55051828855,19.6156671528,1,-0.145052133084
102.788765914,-13.5454004624,16.7698539799,1,-0.145082340984
117.11622739,-9.47673512333,16.7222099938,1,-0.145132083669
115.362275768,-8.58428294778,18.2787770979,1,-0.145100130924
95.0515134452,-10.8904471784,16.9579568507,1,-0.144902627032
81.5222914676,-6.23781191891,17.8709208673,1,-0.144563608964
101.905407969,-11.7783669022,19.0052996794,1,-0.145010205838
81.0078748321,-11.2781472743,16.1214011775,1,-0.144754498805
84.9156840882,-5.32851764603,18.6310429202,1,-0.14461075303
97.1288098556,-9.7625989209,19.4912368343,1,-0.144894979705
93.7684266798,-9.0970901771,18.7347374934,1,-0.14483182559
94.2165510809,-9.80901513504,19.0609895331,1,-0.144857467676
116.36717256,-13.4893772192,19.7336775692,1,-0.145202952087
80.2071546326,-7.47022496402,19.2421073213,1,-0.144570454095
85.4705620617,-10.8109634909,19.261025112,1,-0.144781065112
80.5708475874,-8.71538052134,19.1720946324,1,-0.14461919856
100.520143313,-7.74150579449,16.9056939308,1,-0.144899646913
87.9408459197,-11.3687304945,16.7176241103,1,-0.144837196125
93.8424575645,-5.51875938589,18.2933308704,1,-0.144768023358
93.6027226968,-12.2847538019,19.8081579628,1,-0.144941694833
97.7791283859,-5.19605249119,18.0620906764,1,-0.144826468316
100.846645161,-6.03459476284,18.9710696729,1,-0.144881411231
103.226114554,-10.7335049616,19.5127514377,1,-0.144996125174
96.4658459963,-5.77240423832,16.2748614085,1,-0.144812682065
97.199874476,-9.80485180122,19.8037527823,1,-0.144896878124
